star_id,planet_id,disposition,orbital_period,transit_duration,transit_depth,planet_radius,equilibrium_temp,insolation_flux,snr,stellar_teff,stellar_logg,stellar_radius,ra,dec,stellar_mag
8588982,K08158.01,FALSE POSITIVE,116.025744,3.539,1361.0,37.99,893.0,150.02,18.5,4575.0,2.592,10.788,300.58768,44.681862,12.184
8527297,K08157.01,CANDIDATE,0.58730021,0.82,,,,,,,,,301.6618,44.577499,14.01
8439949,K08156.01,CANDIDATE,364.98242,12.346,533.0,3.12,293.0,1.73,13.1,6429.0,4.404,1.116,295.16364,44.422211,14.324
8307354,K08155.01,FALSE POSITIVE,320.56794551,15.3614,898.9,2.43,234.0,0.71,7.5,5546.0,4.575,0.81,294.57861,44.21526,15.916
8226720,K08154.01,FALSE POSITIVE,391.33068,12.37,277.2,1.68,274.0,1.33,10.3,6428.0,4.457,0.977,289.4827,44.17889,14.056
8129641,K08153.01,FALSE POSITIVE,0.808106001,3.9174,7676.4,39.59,1978.0,3631.91,73.3,6014.0,4.494,0.958,300.95416,43.991718,15.94
8028465,K08152.01,FALSE POSITIVE,261.684363,3.892,817.0,1.46,175.0,0.22,8.3,4393.0,4.713,0.526,291.67062,43.814461,14.864
8012732,K08151.01,FALSE POSITIVE,431.51734,16.42,5332.7,10.28,287.0,1.6,206.2,6221.0,4.294,1.312,284.72949,43.864216,13.922
7959310,K08150.01,FALSE POSITIVE,350.514,19.53,213.5,2.22,346.0,3.37,12.0,6382.0,4.115,1.5,291.54568,43.789879,13.954
7936194,K08149.01,FALSE POSITIVE,536.52197,4.458,293.9,3.0,273.0,1.31,9.7,5335.0,3.973,1.794,280.33868,43.706039,12.101
7900114,K08148.01,FALSE POSITIVE,303.91225,15.37,479.5,1.97,242.0,0.81,12.4,5412.0,4.513,0.887,294.85776,43.677929,15.264
7888957,K08147.01,FALSE POSITIVE,363.346158,4.911,896.0,22.36,537.0,19.65,10.7,4994.0,3.002,7.619,291.10947,43.635181,13.971
7874976,K08146.01,FALSE POSITIVE,185.83013,10.14,72.6,1.01,370.0,4.42,8.1,6137.0,4.286,1.187,284.69919,43.681171,12.218
7811537,K08145.02,FALSE POSITIVE,244.58323,12.822,408.3,2.33,328.0,2.72,7.1,6321.0,4.417,1.125,287.72198,43.596432,15.934
7811537,K08145.01,FALSE POSITIVE,16.9341628,3.94,207.8,1.71,798.0,95.78,7.2,6321.0,4.417,1.125,287.72198,43.596432,15.934
