planet_id,star_id,disposition,orbital_period,transit_duration,transit_depth,planet_radius,equilibrium_temp,insolation_flux,stellar_teff,stellar_logg,stellar_radius,ra,dec,stellar_mag,stellar_dist,disposition_aligned
7133.01,420018238,PC,3.8282053,3.891,4275.0,11.9804,1663.0,1269.85,6455.0,3.93,2.05,10.787342,62.362882,12.7389,884.206,CANDIDATE
7134.01,269102377,PC,3.5899561,3.434,3727.0,18.0461,,1033.33,6224.0,3.6,2.87,349.385015,63.768479,12.4029,937.871,CANDIDATE
7135.01,188539008,PC,10.6185545,1.537,10466.0,12.568,581.0,18.9483,5925.9,4.32,1.19,237.222993,35.398017,12.6634,590.48,CANDIDATE
7136.01,470749725,PC,5.6897753,4.153,6064.0,,,,,,,357.873254,60.933269,13.027,618.889,CANDIDATE
7137.01,161687209,FP,1.2529962,1.083,14080.0,19.179,1232.0,382.546,4220.0,4.51,0.75,236.054241,58.553688,12.8161,196.593,FALSE POSITIVE
7138.01,269514008,PC,5.4149624,1.24,4028.0,16.1825,983.0,155.146,7979.0,3.84,2.75,350.58587,60.754699,12.081,1154.79,CANDIDATE
7139.01,269330087,PC,3.8850223,1.209,6113.0,11.9861,1037.0,192.359,7162.0,4.3,1.48,350.306271,65.257695,12.6728,699.662,CANDIDATE
714.01,219195044,PC,4.3239329,1.5783127,977.2224915,1.5008877,563.1748972,23.7735564,3782.0,4.438,0.473141,92.392417,-53.822988,11.5436,53.8473,CANDIDATE
714.02,219195044,PC,10.1775475,2.0401655,943.2876093,1.5705443,423.3717664,7.5929156,3782.0,4.438,0.473141,92.392417,-53.822988,11.5436,53.8473,CANDIDATE
7140.01,371909591,PC,5.1879527,5.979,3524.0,14.8534,1847.0,1933.52,6617.0,3.66,2.9,349.021766,59.019516,12.5317,1030.49,CANDIDATE
7141.01,235717158,PC,2.4141149,1.329,10760.0,5.83132,649.0,29.5308,3438.0,4.64,0.61,254.662151,83.271745,14.2442,229.246,CANDIDATE
7142.01,263723781,PC,6.5433068,3.114,26297.0,16.0666,887.0,102.868,5295.0,4.34,1.07,250.44698,14.772788,13.3053,557.43,CANDIDATE
7143.01,408548144,PC,1.1376981,1.02,1217.0,2.77467,1204.0,349.377,4244.0,4.52,0.74,92.381859,85.820703,12.6106,177.343,CANDIDATE
7144.01,400235555,PC,0.5289141,1.087,2503.0,6.67772,2147.0,3529.75,5739.6,4.2,1.34,263.053897,14.26805,12.7353,625.682,CANDIDATE
7145.01,8416274,PC,23.2471066,2.031,12754.0,13.9025,479.0,8.76779,5839.1,4.45,1.01,246.09856,32.029436,13.0371,578.77,CANDIDATE
7146.01,402848417,PC,28.4664618,5.958,4267.0,9.21955,684.0,36.4134,5888.0,4.09,1.54,17.742424,82.221473,12.2041,544.981,CANDIDATE
7147.01,405542683,PC,1.3473988,0.444,11164.0,9.67861,590.0,20.22,3576.0,4.6158,0.64,256.753952,38.784588,13.7182,207.933,CANDIDATE
7148.01,351599985,PC,1.3432587,1.534,2215.0,3.99294,1413.0,663.13,5031.1,4.48,0.87,254.146881,22.569607,12.1285,245.173,CANDIDATE
7149.01,459323923,CP,2.6520679,1.53,126188.0,11.2606,555.0,15.7673,3247.0,4.88,0.34,244.738466,19.175812,14.8294,126.126,CONFIRMED
715.01,271971130,CP,19.2879579,2.1841643,4773.5508832,1.7145308,235.0427129,0.7212871,3075.0,4.438,0.229824,113.852328,-73.577409,13.5308,42.4048,CONFIRMED
7150.01,352284958,PC,0.8818115,1.558,2067.0,9.47171,2256.0,4304.47,6571.0,3.91,2.14,19.247141,71.093647,13.085,1276.55,CANDIDATE
7151.01,331619598,PC,7.1467369,3.913,1157.0,3.63858,1255.0,412.052,6252.0,4.4,1.15,69.641701,74.30934,11.5576,350.869,CANDIDATE
7152.01,378860702,PC,3.1875721,1.825,4278.0,,,,,,,10.212378,71.364782,11.878,,CANDIDATE
7153.01,154869806,PC,27.6174987,4.509,2176.0,3.92928,569.0,17.4356,5469.0,4.51,0.9,190.256094,88.082025,12.1854,293.366,CANDIDATE
7154.01,377622130,PC,8.8600515,2.493,10563.0,9.20623,722.0,45.247,5481.0,4.45,0.97,264.570314,15.213537,11.9445,299.123,CANDIDATE
7155.01,468350765,PC,3.8949005,2.171,1071.0,2.15693,914.0,116.253,4718.0,4.66,0.67,12.445448,79.287855,11.8389,144.751,CANDIDATE
7156.01,376354189,PC,1.9299641,0.37,26801.0,11.758,366.0,2.99687,3554.0,4.78,0.46,45.280234,69.916053,14.6049,181.369,CANDIDATE
7157.01,469523619,PC,1.1838063,1.233,1853.0,9.29553,2453.0,6017.49,8996.0,4.14,2.11,318.005408,59.032739,12.3132,1075.54,CANDIDATE
7158.01,431033767,PC,3.338577,3.519,3620.0,11.9188,1965.0,2475.81,7482.0,4.02,2.13,334.678618,53.781393,13.1238,1622.57,CANDIDATE
7159.01,444159424,PC,8.8922064,3.709,5250.0,,,,,,,342.520534,58.906174,12.492,900.701,CANDIDATE
716.01,119081096,FP,0.83707,2.497,2745.5,2.98849,1998.0,2645.93,3776.0,4.72,0.52,136.238912,-18.502674,12.4268,88.8248,FALSE POSITIVE
7160.01,154264903,PC,3.0825102,3.708,4011.0,10.2259,1676.0,1312.39,6001.8,,1.69,342.052268,47.170483,12.934,746.634,CANDIDATE
7161.01,415461195,PC,3.8285502,5.248,2531.0,12.7621,2121.0,3360.36,7075.0,3.74,2.8,337.314049,56.014714,11.951,736.113,CANDIDATE
7162.01,341005781,PC,8.6393678,2.325,22505.0,8.17498,444.0,6.46156,3468.0,4.68,0.56,314.724621,59.595297,14.4397,,CANDIDATE
7163.01,343774169,PC,5.3913891,1.995,4086.0,4.28654,832.0,79.5918,5179.0,4.68,0.71,341.716965,54.011837,11.2584,137.3,CANDIDATE
7164.01,326470400,FP,736.5528811,4.735,1432.0,3.13923,192.0,0.22955,5659.0,4.57,0.86,210.09769,-61.7412,9.8447,108.2,FALSE POSITIVE
7166.01,288421619,PC,12.9228111,1.5980207,8723.2564459,2.1004549,264.5773396,1.1580614,3166.0,5.02476,0.223377,320.680636,8.889398,13.123,35.4153,CANDIDATE
7167.01,456482025,PC,13.723753,2.3593878,3129.0813648,7.707781,937.0740086,182.2286132,6374.4,4.28178,1.34911,0.099291,16.493828,11.8246,502.982,CANDIDATE
7169.01,372048733,PC,3.4375711,3.9255437,10435.0708429,15.0290201,1454.0652473,1056.4685689,5874.0,4.15198,1.43119,351.05469,36.817566,11.908,467.151,CANDIDATE
717.01,275248683,FP,0.53079,1.238,1113.07,,1557.0,977.343,3788.4,4.87,,147.970536,2.116647,11.4407,34.7229,FALSE POSITIVE
